Project Name,Package Name,Type Name,Code Smell
reservation,flight.reservation.order,LoggingOrderObserver,Unutilized Abstraction
reservation,flight.reservation.order,ChainFlightOrder,Unutilized Abstraction
reservation,flight.reservation.order,ChainFlightOrder,Broken Hierarchy
reservation,flight.reservation.order,Order,Unutilized Abstraction
reservation,flight.reservation.order,OrderObserver,Cyclic-Dependent Modularization
reservation,flight.reservation.order,FlightOrder,Unutilized Abstraction
reservation,flight.reservation.order,FlightOrder,Cyclic-Dependent Modularization
reservation,flight.reservation.order.handler,ConfirmationHandler,Unutilized Abstraction
reservation,flight.reservation.order.handler,PaymentHandler,Unutilized Abstraction
reservation,flight.reservation.order.handler,ValidationHandler,Unutilized Abstraction
reservation,flight.reservation.order.handler,ClosureHandler,Unutilized Abstraction
reservation,flight.reservation,Passenger,Unutilized Abstraction
reservation,flight.reservation,Customer,Cyclic-Dependent Modularization
reservation,flight.reservation.payment,Paypal,Unnecessary Abstraction
reservation,flight.reservation.payment,Paypal,Deficient Encapsulation
reservation,flight.reservation.payment,PayPalPaymentStrategy,Unutilized Abstraction
reservation,flight.reservation.payment,CreditCardPaymentStrategy,Unutilized Abstraction
reservation,flight.reservation.flight,AnalyticsFlightObserver,Unutilized Abstraction
reservation,flight.reservation.flight,FlightObserver,Cyclic-Dependent Modularization
reservation,flight.reservation.flight,NotificationFlightObserver,Unutilized Abstraction
reservation,flight.reservation.flight,Schedule,Unutilized Abstraction
reservation,flight.reservation.flight,ScheduledFlight,Broken Hierarchy
reservation,flight.reservation.flight,ScheduledFlight,Cyclic-Dependent Modularization
reservation,flight.reservation.flight,ScheduledFlight,Insufficient Modularization
reservation,flight.reservation.flight,LoggingFlightObserver,Unutilized Abstraction
reservation,flight.reservation.plane,PassengerPlane,Deficient Encapsulation
reservation,flight.reservation.plane,PassengerPlaneAdapter,Unutilized Abstraction
reservation,flight.reservation.plane,PassengerDroneAdapter,Unutilized Abstraction
reservation,flight.reservation.plane,HelicopterAdapter,Unutilized Abstraction
reservation,flight.reservation.plane,AircraftFactory,Unutilized Abstraction
