Project Name,Package Name,Type Name,Method Name,Code Smell
reservation,flight.reservation.order,ChainFlightOrder,buildChain,Long Statement
reservation,flight.reservation.order,FlightOrder,isOrderValid,Long Statement
reservation,flight.reservation,Customer,isOrderValid,Long Statement
reservation,flight.reservation.payment,CreditCard,CreditCard,Magic Number
reservation,flight.reservation.flight,AnalyticsFlightObserver,onPassengersAdded,Long Statement
reservation,flight.reservation.flight,AnalyticsFlightObserver,onPassengersRemoved,Long Statement
reservation,flight.reservation.flight,AnalyticsFlightObserver,onPriceChanged,Long Statement
reservation,flight.reservation.flight,AnalyticsFlightObserver,onFlightCancelled,Long Statement
reservation,flight.reservation.flight,NotificationFlightObserver,onPassengersAdded,Long Statement
reservation,flight.reservation.flight,NotificationFlightObserver,onPassengersRemoved,Long Statement
reservation,flight.reservation.flight,NotificationFlightObserver,onPriceChanged,Long Statement
reservation,flight.reservation.flight,Schedule,scheduleFlight,Long Statement
reservation,flight.reservation.flight,Schedule,removeFlight,Complex Conditional
reservation,flight.reservation.flight,Schedule,removeFlight,Long Statement
reservation,flight.reservation.flight,ScheduledFlight,ScheduledFlight,Magic Number
reservation,flight.reservation.plane,PassengerDrone,getPassengerCapacity,Magic Number
reservation,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
reservation,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
reservation,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
reservation,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
reservation,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
reservation,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
reservation,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
reservation,flight.reservation.plane,PassengerPlane,PassengerPlane,Magic Number
reservation,flight.reservation.plane,PassengerPlane,PassengerPlane,Missing default
reservation,flight.reservation.plane,Helicopter,Helicopter,Magic Number
reservation,flight.reservation.plane,Helicopter,Helicopter,Magic Number
reservation,flight.reservation.plane,Helicopter,getCrewCapacity,Magic Number
reservation,flight.reservation.plane,AircraftFactory,createAircraft,Complex Conditional
