Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
reservation,flight.reservation.order,LoggingOrderObserver,onOrderClosed,3,1,1
reservation,flight.reservation.order,LoggingOrderObserver,onOrderPriceChanged,3,1,3
reservation,flight.reservation.order,LoggingOrderObserver,onPassengersChanged,3,1,2
reservation,flight.reservation.order,ChainFlightOrder,ChainFlightOrder,4,1,1
reservation,flight.reservation.order,ChainFlightOrder,buildChain,5,1,0
reservation,flight.reservation.order,ChainFlightOrder,processOrderWithChain,5,1,1
reservation,flight.reservation.order,Order,Order,3,1,0
reservation,flight.reservation.order,Order,getId,3,1,0
reservation,flight.reservation.order,Order,getPrice,3,1,0
reservation,flight.reservation.order,Order,setPrice,3,1,1
reservation,flight.reservation.order,Order,getCustomer,3,1,0
reservation,flight.reservation.order,Order,setCustomer,3,1,1
reservation,flight.reservation.order,Order,getPassengers,3,1,0
reservation,flight.reservation.order,Order,setPassengers,3,1,1
reservation,flight.reservation.order,Order,isClosed,3,1,0
reservation,flight.reservation.order,Order,setClosed,3,1,0
reservation,flight.reservation.order,OrderObserver,onOrderClosed,0,1,1
reservation,flight.reservation.order,OrderObserver,onOrderPriceChanged,0,1,3
reservation,flight.reservation.order,OrderObserver,onPassengersChanged,0,1,2
reservation,flight.reservation.order,FlightOrder,FlightOrder,3,1,1
reservation,flight.reservation.order,FlightOrder,getNoFlyList,3,1,0
reservation,flight.reservation.order,FlightOrder,getScheduledFlights,3,1,0
reservation,flight.reservation.order,FlightOrder,addObserver,3,1,1
reservation,flight.reservation.order,FlightOrder,removeObserver,3,1,1
reservation,flight.reservation.order,FlightOrder,setClosed,4,1,0
reservation,flight.reservation.order,FlightOrder,setPrice,5,1,1
reservation,flight.reservation.order,FlightOrder,setPassengers,4,1,1
reservation,flight.reservation.order,FlightOrder,notifyOrderClosed,5,2,0
reservation,flight.reservation.order,FlightOrder,notifyPriceChanged,5,2,2
reservation,flight.reservation.order,FlightOrder,notifyPassengersChanged,5,2,1
reservation,flight.reservation.order,FlightOrder,setPaymentStrategy,3,1,1
reservation,flight.reservation.order,FlightOrder,processPayment,16,5,0
reservation,flight.reservation.order,FlightOrder,processOrderWithCreditCardDetail,4,1,3
reservation,flight.reservation.order,FlightOrder,processOrderWithCreditCard,4,1,1
reservation,flight.reservation.order,FlightOrder,processOrderWithPayPal,4,1,2
reservation,flight.reservation.order,FlightOrder,isOrderValid,7,1,3
reservation,flight.reservation.order,OrderContext,OrderContext,5,1,2
reservation,flight.reservation.order,OrderContext,getOrder,3,1,0
reservation,flight.reservation.order,OrderContext,getPaymentStrategy,3,1,0
reservation,flight.reservation.order,OrderContext,isSuccess,3,1,0
reservation,flight.reservation.order,OrderContext,setSuccess,3,1,1
reservation,flight.reservation.order.handler,ConfirmationHandler,doHandle,6,2,1
reservation,flight.reservation.order.handler,PaymentHandler,doHandle,5,1,1
reservation,flight.reservation.order.handler,ValidationHandler,doHandle,16,5,1
reservation,flight.reservation.order.handler,OrderProcessingHandler,setNextHandler,4,1,1
reservation,flight.reservation.order.handler,OrderProcessingHandler,handle,7,2,1
reservation,flight.reservation.order.handler,OrderProcessingHandler,doHandle,0,1,1
reservation,flight.reservation.order.handler,ClosureHandler,doHandle,6,2,1
reservation,flight.reservation,Passenger,Passenger,3,1,1
reservation,flight.reservation,Passenger,getName,3,1,0
reservation,flight.reservation,Customer,Customer,5,1,2
reservation,flight.reservation,Customer,createOrder,15,3,3
reservation,flight.reservation,Customer,isOrderValid,7,1,2
reservation,flight.reservation,Customer,getEmail,3,1,0
reservation,flight.reservation,Customer,setEmail,3,1,1
